Country/Dependency,Population
China,1411750000
India,1375586000
United States,334233854
Indonesia,275773800
Pakistan,235825000
Nigeria,218541000
Brazil,215726537
Bangladesh,165158616
Russia,146980061
Mexico,128665641
Japan,124770000
Philippines,113040260
Ethiopia,105163988
Egypt,104401352
Vietnam,99460000
DR Congo,99010000
Iran,86160207
Turkey,84680273
Germany,84270625
France,68042591
United Kingdom,67026292
Thailand,66890442
Tanzania,61741120
South Africa,60604992
Italy,58887359
Myanmar,55294979
South Korea,51439038
Colombia,51049498
Spain,47615034
Kenya,47564296
Argentina,46044703
Algeria,45400000
Sudan,45125635
Uganda,42885900
Iraq,41190700
Ukraine,41130432
Canada,39102318
Poland,37785000
Morocco,36856682
Uzbekistan,36031625
Saudi Arabia,35013414
Yemen,33697000
Peru,33396698
Angola,33086278
Afghanistan,32890171
Malaysia,32768200
Mozambique,31616078
Ghana,30832019
Ivory Coast,29389150
Nepal,29192480
Venezuela,28302000
Madagascar,26923353
Australia,26043399
North Korea,25660000
Cameroon,24348251
Niger,24112753
Taiwan,23375314
Mali,22594000
Sri Lanka,22181000
Syria,22125000
Burkina Faso,21510181
Malawi,21507723
Chile,19828563
Kazakhstan,19404496
Zambia,19610769
Romania,19053815
Ecuador,18157736
Netherlands,17792160
Somalia,17598000
Senegal,17223497
Guatemala,17109746
Chad,16818391
Cambodia,15552211
Zimbabwe,15178979
South Sudan,13249924
Rwanda,12955768
Guinea,12907395
Burundi,12574571
Benin,12506347
Bolivia,12006031
Tunisia,11803588
Haiti,11743017
Belgium,11730564
Jordan,11400184
Cuba,11113215
Dominican Republic,10535535
Czech Republic,10526937
Sweden,10520558
Greece,10432481
Portugal,10344802
Azerbaijan,10215045
Hungary,9678000
Israel,9672320
Honduras,9546178
Tajikistan,9506000
United Arab Emirates,9282410
Belarus,9255524
Papua New Guinea,9122994
Austria,9090868
Switzerland,8789726
Sierra Leone,8494260
Togo,7886000
Hong Kong(China),7403100
Paraguay,7353038
Laos,7337783
Kyrgyzstan,7000000
El Salvador,6825935
Libya,6812000
Serbia,6690887
Nicaragua,6595674
Bulgaria,6520314
Turkmenistan,6431000
Congo,5970000
Denmark,5928364
Central African Republic,5633412
Finland,5528796
Lebanon,5490000
Norway,5475240
Singapore,5453600
Slovakia,5431344
Palestine,5483450
Costa Rica,5163038
New Zealand,5140391
Ireland,5123536
Kuwait,4670713
Liberia,4661010
Oman,4527446
Panama,4278500
Mauritania,4271197
Croatia,3871833
Georgia,3688600
Eritrea,3684000
Uruguay,3554915
Mongolia,3480555
Bosnia and Herzegovina,3320954
Puerto Rico(United States),3285874
Armenia,2963900
Lithuania,2839020
Albania,2829741
Qatar,2799202
Jamaica,2734093
Gambia,2706000
Moldova,2597100
Namibia,2550226
Botswana,2410338
Lesotho,2306000
Gabon,2233272
Slovenia,2108977
Latvia,1895400
North Macedonia,1832696
Kosovo,1798188
Guinea-Bissau,1646077
Equatorial Guinea,1505588
Bahrain,1501635
Trinidad and Tobago,1367558
Estonia,1331796
East Timor,1317780
Mauritius,1266334
Eswatini,1202000
Djibouti,976107
Cyprus,918100
Fiji,898402
Bhutan,763200
Comoros,758316
Guyana,743699
Solomon Islands,728041
Macau(China),683200
Luxembourg,645397
Montenegro,617683
Suriname,598000
Western Sahara,576000
Cape Verde,563198
Malta,519562
Belize,441471
Brunei,429999
Bahamas,393450
Iceland,385230
Maldives,383135
Northern Cyprus,382836
Transnistria,306000
Vanuatu,301295
Barbados,282000
French Polynesia(France),279890
New Caledonia(France),273674
Abkhazia,245424
Sao Tome and Principe,214610
Samoa,199853
Saint Lucia,178696
Guam(United States),153836
Cura‡ao(Netherlands),153671
Artsakh,148900
Grenada,125000
Kiribati,120740
Aruba(Netherlands),111050
Saint Vincent and the Grenadines,110696
Jersey(British Crown Dependency),107800
Micronesia,105754
Antigua and Barbuda,100772
Seychelles,100447
Tonga,100179
U.S. Virgin Islands(United States),87146
Isle of Man(British Crown Dependency),84069
Andorra,81057
Dominica,73000
