Country,"Median income"
United States,"46,625"
Luxembourg,"44,270"
Norway,"40,720"
Canada,"38,487"
Switzerland,"37,946"
Austria,"34,766"
Iceland,"34,316"
Australia,"35,685"
Netherlands,"34,756"
Belgium,"33,142"
Denmark,"32,788"
Sweden,"32,772"
Germany,"32,133"
South Korea,"30,971"
New Zealand,"30,701"
Finland,"29,872"
Ireland,"28,859"
France,"28,146"
Slovenia,"25,524"
United Kingdom,"25,407"
Italy,"25,265"
Spain,"25,125"
Estonia,"21,812"
Japan,"21,697"
Czech Republic,"21,499"
Poland,"19,057"
Portugal,"18,711"
Lithuania,"18,780"
Latvia,"17,508"
Slovak Republic,"16,109"
Russia,"16,163"
Greece,"15,384"
Hungary,"14,395"
Bulgaria,"13,341"
Romania,"11,945"
Turkey,"10,802"
Chile,"10,058"
Costa Rica,"9,568"
Brazil,"6,942"
Mexico,"6,325"
South Africa,"5,489"
China,"4,484"
India,"2,473"
