Country,Median Income per day
Luxembourg,$69.48 
Norway,$65.30 
United Arab Emirates,$65.14 
United States,$65.04 
Switzerland,$64.35 
Austria,$57.64 
Iceland,$56.52 
Canada,$55.42 
Germany,$54.82 
Netherlands,$54.42 
Denmark,$54.08 
Australia,$53.05 
Belgium,$52.63 
Finland,$51.26 
Sweden,$50.57 
France,$49.59 
Malta,$45.71 
United Kingdom,$45 
Ireland,$44.73 
Cyprus,$43.20 
Japan,$41.49 
Italy,$40.67 
Spain,$40.29 
Slovenia,$39.50 
Taiwan,$38.27 
South Korea,$37.62 
Estonia,$34.65 
Czech Republic,$34.56 
Israel,$33.65 
Lithuania,$30.71 
Portugal,$29.43 
Latvia,$26.94 
Croatia,$26.12 
Lebanon,$26.12 
Hungary,$24.76 
Slovakia,$24.76 
Greece,$24.61 
Panama,$21.85 
Malaysia,$21.62 
Bulgaria,$20.86 
Uruguay,$20.38 
Seychelles,$19.50 
Romania,$19.03 
Bosnia and Herzegovina,$17.60 
Russia,$17.41 
Belarus,$17.24 
Poland,$17.24 
Argentina,$17.23 
Chile,$17.01 
Turkey,$16.18 
Maldives,$15.83 
Montenegro,$14.62 
Bolivia,$14.02 
Costa Rica,$13.92 
Brazil,$13.49 
Jordan,$13.39 
Serbia,$13.20 
Albania,$13.08 
Saint Lucia,$13.05 
Thailand,$12.89 
Mauritius,$12.73 
Ukraine,$12.60 
Republic of Macedonia,$12.40 
Paraguay,$12.31 
Palestine,$11.42 
Tunisia,$11.38 
Vietnam,$10.92 
China,$10.72 
Dominican Republic,$10.63 
Moldova,$10.52 
Kazakhstan,$10.42 
Iran,$10.31 
Trinidad and Tobago,$10.17 
Jamaica,$9.95 
El Salvador,$9.89 
Gabon,$9.67 
Iraq,$9.61 
Mexico,$9.55 
Marshall Islands,$9.21 
Ecuador,$9.16 
Venezuela,$8.49 
Bhutan,$8.26 
Suriname,$8.14 
Kosovo,$8.11 
Mongolia,$8.10 
Nicaragua,$8.07 
Azerbaijan,$8.06 
Algeria,$8.04 
Peru,$7.93 
Colombia,$7.80 
Morocco,$7.71 
Syria,$6.95 
Honduras,$6.93 
Nauru,$6.68 
Fiji,$6.64 
Armenia,$6.62 
Sri Lanka,$6.59 
Guatemala,$6.17 
Guyana,$6.04 
Georgia,$6.03 
Indonesia,$5.74 
Namibia,$5.68 
Myanmar,$5.47 
Kyrgyzstan,$5.43 
Tajikistan,$5.33 
Mauritania,$5.30 
Philippines,$5.30 
Egypt,$5.07 
Belize,$4.92 
Botswana,$4.84 
Laos,$4.76 
South Africa,$4.76 
Vanuatu,$4.67 
Senegal,$4.44 
Comoros,$4.39 
Ivory Coast,$4.35 
Federated States of Micronesia,$4.23 
Nepal,$4.20 
Djibouti,$4.09 
Pakistan,$4.07 
S?o Tom‚ and Pr¡ncipe,$4 
The Gambia,$3.95 
Cameroon,$3.89 
India,$3.89 
Guinea,$3.80 
Mali,$3.78 
Ghana,$3.73 
Sudan,$3.66 
Bangladesh,$3.58 
Benin,$3.48 
Yemen,$3.44 
Angola,$3.42 
Guinea-Bissau,$3.31 
Lesotho,$3.24 
Togo,$3.21 
Haiti,$3.20 
Kenya,$3.10 
Liberia,$3.10 
Solomon Islands,$3.10 
Ethiopia,$3.06 
Burkina Faso,$3 
Sierra Leone,$2.96 
Nigeria,$2.95 
Eswatini,$2.95 
Chad,$2.88 
Zimbabwe,$2.65 
Papua New Guinea,$2.62 
Uganda,$2.47 
Turkmenistan,$2.40 
Tanzania,$2.33 
Niger,$2.13 
Rwanda,$2.07 
Burundi,$1.70 
Central African Republic,$1.68 
Mozambique,$1.60 
Zambia,$1.57 
Malawi,$1.53 
Somalia,$1.52 
South Sudan,$1.52 
Democratic Republic of the Congo,$1.46 
Uzbekistan,$1.23 
Madagascar,$1.12 
